IDs	length	Exptl.	resolution	R-factor	FreeRvalue
5YY5H	111	XRAY	2.8	0.25	0.28
2GXGA	146	XRAY	1.45	0.22	0.24
4YUUO1	329	XRAY	2.77	0.25	0.28
1F99A	162	XRAY	2.4	0.19	0.24
5H0QA	202	XRAY	1.5	0.18	0.22
1YC5A	246	XRAY	1.4	0.19	0.2
1NOGA	177	XRAY	1.55	0.2	0.21
1YEJH	222	XRAY	1.85	0.21	0.25
3ZOJA	279	XRAY	0.88	0.1	0.11
2OPGA	98	XRAY	1.5	0.17	0.22
5LHXA	93	XRAY	1.53	0.17	0.21
5BU8A	199	XRAY	2.2	0.23	0.25
4QU6A	107	XRAY	1.75	0.18	0.25
4TQGA	323	XRAY	2.2	0.2	0.23
3V44A	407	XRAY	2.83	0.21	0.24
2XE0B	152	XRAY	2.31	0.21	0.26
3I9XA	187	XRAY	2.2	0.23	0.28
2NVWA	479	XRAY	2.1	0.2	0.24
2QFEA	148	XRAY	1.45	0.19	0.21
1ML8A	134	XRAY	2.6	0.23	0.27
4ASMB	363	XRAY	1.5	0.16	0.19
4DV8A	526	XRAY	1.63	0.18	0.2
4NQ0A	393	XRAY	2.1	0.23	0.24
3C8DA	403	XRAY	1.8	0.15	0.19
1DUNA	134	XRAY	1.9	0.16	0.21
5ZHZA	258	XRAY	1.18	0.14	0.16
4X4WA	416	XRAY	1.9	0.16	0.2
4FSPA	408	XRAY	2.32	0.2	0.24
3LBXA	161	XRAY	2.8	0.27	0.3
4J9WA	332	XRAY	1.6	0.2	0.23
3RJOA	419	XRAY	2.3	0.2	0.26
4Y2FA	149	XRAY	1.4	0.18	0.2
5GYLA	479	XRAY	2.2	0.21	0.23
3G7PA	156	XRAY	2	0.21	0.25
2OD6A	110	XRAY	1.85	0.2	0.23
1SFSA	240	XRAY	1.07	0.1	0.14
5N6GA	379	XRAY	1.58	0.14	0.16
4PETA	357	XRAY	1.9	0.16	0.21
4U3SB	184	XRAY	1.64	0.17	0.21
1SKVA	69	XRAY	2.6	0.23	0.27
5IJLA	1066	XRAY	2.19	0.2	0.23
5VMLA	269	XRAY	1.7	0.15	0.17
2W2XC	124	XRAY	2.3	0.24	0.29
2XP1A	178	XRAY	2.2	0.23	0.27
3C5WA	232	XRAY	2.8	0.2	0.26
1LRIA	98	XRAY	1.45	0.13	0.19
3G7UA	376	XRAY	1.75	0.18	0.22
1GAKA	141	XRAY	1.85	0.23	0.25
1S5UA	138	XRAY	1.7	0.2	0.23
1ZGZA	122	XRAY	1.8	0.2	0.24
1MILA	104	XRAY	2.7	0.17	1
1NJ1A	501	XRAY	2.55	0.23	0.26
5GI7A	215	XRAY	1.2	0.15	0.17
3RQBA	275	XRAY	2.8	0.18	0.26
4R6IA	478	XRAY	2.65	0.2	0.25
2QXXA	190	XRAY	2	0.16	0.22
4DK2A	297	XRAY	1.47	0.18	0.21
4ITKA	105	XRAY	1.18	0.11	0.15
6H9HA	266	XRAY	1.75	0.21	0.24
4DMUA	87	XRAY	2.8	0.2	0.25
4N9OB	130	XRAY	1.5	0.15	0.18
4F4YA	362	XRAY	2.34	0.22	0.26
3LMAA	347	XRAY	1.99	0.17	0.21
5VAAA	226	XRAY	1.55	0.17	0.2
5EHKA	1115	XRAY	2.71	0.21	0.26
3ETOA	242	XRAY	2	0.21	0.25
4EI7A	389	XRAY	1.9	0.18	0.24
4U12A	94	XRAY	1.94	0.22	0.25
3LSWA	258	XRAY	1.75	0.18	0.22
3H8LA	409	XRAY	2.57	0.2	0.22
2OB0A	170	XRAY	1.8	0.17	0.2
2HK2A	331	XRAY	2.3	0.19	0.25
1M4LA	307	XRAY	1.25	0.1	0.14
3HEIB	132	XRAY	2	0.17	0.23
1KWIA	101	XRAY	2.19	0.25	0.29
5TE9A	158	XRAY	2.4	0.21	0.27
4LH6A	323	XRAY	1.65	0.22	0.25
3A01A	93	XRAY	2.7	0.23	0.28
4ED9A	385	XRAY	1.95	0.17	0.22
2BW8A	227	XRAY	1.54	0.16	0.18
6MJNA	147	XRAY	1.75	0.18	0.21
2PTRA	462	XRAY	1.85	0.18	0.22
2VXYA	382	XRAY	1.7	0.19	0.22
4NN5C	212	XRAY	1.9	0.17	0.2
5NAAA	230	XRAY	1.88	0.18	0.23
3GKEA	349	XRAY	1.75	0.17	0.2
2ZPOA	119	XRAY	1.6	0.19	0.25
3NRTA	103	XRAY	2.54	0.2	0.25
3C24A	286	XRAY	1.62	0.16	0.2
4FHGA	368	XRAY	2	0.21	0.24
1IDSA	207	XRAY	2	0.17	1
3GKJA	232	XRAY	1.6	0.18	0.2
4K8WA	129	XRAY	1.67	0.19	0.21
1R5TA	142	XRAY	2	0.19	0.22
2GU9A	113	XRAY	1.4	0.25	0.25
4ABNA	474	XRAY	2.05	0.2	0.24
3DRFA	590	XRAY	1.3	0.13	0.16
1XR5A	466	XRAY	2.8	0.27	0.29
5IG4A	145	XRAY	2.35	0.19	0.22
3UCSA	102	XRAY	1.87	0.2	0.23
1PN3A	404	XRAY	2.8	0.21	0.25
5Z8OA	147	XRAY	1.95	0.21	0.24
4M0EA	542	XRAY	2	0.16	0.2
5MKDA	124	XRAY	2.51	0.21	0.26
4JJHA	133	XRAY	2.25	0.23	0.29
3PP9A	187	XRAY	1.6	0.19	0.22
3S95A	310	XRAY	1.65	0.16	0.18
3HZ2A	84	XRAY	1.86	0.17	0.21
2NPTA	106	XRAY	1.75	0.2	0.25
2RBDA	171	XRAY	1.54	0.16	0.19
2Z5II	40	XRAY	2.1	0.22	0.25
1HU3A	260	XRAY	2.37	0.25	0.29
3H4TA	404	XRAY	1.15	0.17	0.18
3SNGA	277	XRAY	2.16	0.19	0.22
3L09A	266	XRAY	2.81	0.2	0.24
4IOYX	285	XRAY	1.94	0.18	0.2
1QMEA	702	XRAY	2.4	0.2	0.23
2Z37A	244	XRAY	1.53	0.19	0.22
3DBOB	150	XRAY	1.76	0.21	0.25
3HCGA	146	XRAY	1.82	0.2	0.23
1YIRA	408	XRAY	2.1	0.21	0.25
3Q15A	378	XRAY	2.19	0.22	0.27
3PZ6A	311	XRAY	2.6	0.22	0.27
1B35B	255	XRAY	2.4	0.23	0.24
4X9HA	400	XRAY	2.95	0.27	0.32
4C6AA	154	XRAY	1.25	0.16	0.17
5FGPA	152	XRAY	2	0.17	0.21
5T5IF	349	XRAY	1.9	0.15	0.17
4ZICA	379	XRAY	2.55	0.23	0.27
4RWHA	106	XRAY	1.8	0.19	0.22
3U6RA	149	XRAY	2.67	0.2	0.23
4CGQA	111	XRAY	2	0.17	0.21
5XECC	80	XRAY	1.1	0.18	0.2
5M0WA	82	XRAY	1.39	0.12	0.14
3BKXA	275	XRAY	1.85	0.19	0.24
2H1CA	139	XRAY	1.8	0.22	0.22
3HTVA	310	XRAY	1.95	0.2	0.24
2D59A	144	XRAY	1.65	0.21	0.24
5L2QA	320	XRAY	2.53	0.26	0.28
4EJOA	123	XRAY	2.1	0.18	0.23
1PMIA	440	XRAY	1.7	0.18	1
2BDVA	231	XRAY	2.2	0.21	0.28
3HYUA	141	XRAY	1.67	0.18	0.2
5OMNC	119	XRAY	2.68	0.24	0.26
3VAYA	230	XRAY	1.98	0.21	0.22
2ZYOA	397	XRAY	1.55	0.19	0.22
4B93B	269	XRAY	2	0.21	0.25
3HL1A	317	XRAY	1.95	0.19	0.23
1OP0A	234	XRAY	2	0.18	0.21
2RF5A	258	XRAY	2.3	0.2	0.25
2DQBA	376	XRAY	2.2	0.22	0.29
4RV1A	420	XRAY	2.57	0.2	0.24
4V2OA	82	XRAY	2.13	0.23	0.25
4I3MA	175	XRAY	1.95	0.21	0.26
5Y00A	271	XRAY	1.6	0.15	0.16
3X17A	559	XRAY	2.15	0.19	0.25
3JQWA	121	XRAY	2	0.18	0.23
4GNXA	114	XRAY	2.8	0.22	0.28
2I3DA	249	XRAY	1.5	0.14	0.17
3C3MA	138	XRAY	1.7	0.17	0.19
2JD4A	383	XRAY	1.9	0.23	0.26
3JS8A	540	XRAY	1.54	0.18	0.2
5XTTA	162	XRAY	1.75	0.19	0.22
3MZKB	441	XRAY	2.69	0.2	0.24
4WFTA	120	XRAY	1.7	0.16	0.18
2R0CA	549	XRAY	1.8	0.21	0.24
4WANA	129	XRAY	1.8	0.18	0.21
3LW6A	287	XRAY	1.81	0.19	0.22
5V37A	428	XRAY	1.42	0.23	0.28
4GXPA	467	XRAY	3	0.24	0.29
3SZVA	401	XRAY	1.45	0.18	0.2
2CVDA	198	XRAY	1.45	0.19	0.21
5Y24A	396	XRAY	1.92	0.22	0.25
6BG8A	246	XRAY	1.6	0.18	0.22
3TUFA	197	XRAY	2.26	0.17	0.23
1DJXA	624	XRAY	2.3	0.22	0.27
4KN9S	283	XRAY	1.4	0.13	0.17
3VOTA	425	XRAY	1.8	0.2	0.24
5L4LA	304	XRAY	1.2	0.13	0.15
2WKFA	125	XRAY	2.05	0.25	0.32
4YBBCG	176	XRAY	2.1	0.22	0.23
5YUYA	352	XRAY	1.74	0.19	0.21
5F86A	402	XRAY	1.9	0.2	0.22
4ZO4A	204	XRAY	2.57	0.21	0.28
1HZOA	271	XRAY	1.75	0.17	0.19
6FJXA	530	XRAY	2.25	0.19	0.21
2QV7A	337	XRAY	2.3	0.21	0.25
4BHQA	163	XRAY	2.05	0.2	0.23
2QXIA	224	XRAY	1	0.14	0.16
4K4CA	137	XRAY	1.85	0.17	0.21
3OHRA	303	XRAY	1.66	0.18	0.19
4GKLA	422	XRAY	2.4	0.2	0.26
3BO7A	201	XRAY	2.35	0.19	0.24
1KAMA	194	XRAY	2.1	0.22	0.25
3NX3A	395	XRAY	1.8	0.15	0.2
5MGWA	406	XRAY	1.46	0.18	0.2
2HC9A	491	XRAY	1.85	0.15	0.17
3EUWA	344	XRAY	2.3	0.22	0.26
5UF2A	231	XRAY	1.4	0.14	0.16
1CDOA	374	XRAY	2.05	0.18	0.25
4YU3B	146	XRAY	2.45	0.27	0.3
1F9ZA	135	XRAY	1.5	0.21	0.27
4Z0NA	337	XRAY	1.26	0.14	0.17
6BK7A	407	XRAY	1.83	0.19	0.22
1DCSA	311	XRAY	1.3	0.13	0.15
5DM6T	84	XRAY	2.9	0.24	0.27
1FIGH	216	XRAY	3	0.22	1
1MKPA	144	XRAY	2.35	0.2	0.23
3V1VA	433	XRAY	1.8	0.15	0.18
1MZPA	217	XRAY	2.65	0.26	0.27
3JYOA	283	XRAY	1	0.17	0.19
1VB3A	428	XRAY	2.2	0.22	0.26
3ABZA	845	XRAY	2.15	0.16	0.22
4LKSA	167	XRAY	1.5	0.18	0.2
3KYJB	145	XRAY	1.4	0.17	0.21
1TA3A	274	XRAY	1.7	0.13	0.17
3BCNA	209	XRAY	2.85	0.24	0.27
4Z79A	188	XRAY	1.54	0.16	0.18
5IVAA	646	XRAY	2.99	0.25	0.29
1PPJD	241	XRAY	2.1	0.22	0.26
3ORUA	234	XRAY	1.11	0.13	0.15
6FD2A	457	XRAY	2.55	0.23	0.26
5Y5RA	288	XRAY	1.9	0.28	0.32
5EUJA	573	XRAY	2.15	0.19	0.22
2GN4A	344	XRAY	1.9	0.2	0.23
3KYEA	150	XRAY	2.15	0.19	0.23
3A7LA	128	XRAY	1.3	0.18	0.2
2IVFC	214	XRAY	1.88	0.15	0.18
5OAKA	117	XRAY	1.5	0.14	0.17
4P2CG	128	XRAY	2.82	0.19	0.25
1SXJB	323	XRAY	2.85	0.25	0.31
2W07B	148	XRAY	2.2	0.23	0.28
5JNZA	142	XRAY	2.2	0.14	0.19
2X3CA	343	XRAY	1.99	0.17	0.21
1JNYA	435	XRAY	1.8	0.23	0.27
5MRUA	216	XRAY	2.55	0.23	0.27
3WCOA	392	XRAY	2.4	0.18	0.23
3GH1A	462	XRAY	1.9	0.17	0.23
1KBLA	873	XRAY	1.94	0.21	0.26
1B5EA	246	XRAY	1.6	0.19	0.21
3C9XA	329	XRAY	1.7	0.18	0.21
2WW2A	737	XRAY	1.9	0.16	0.19
3IK0A	316	XRAY	2.1	0.21	0.26
1MFAL	127	XRAY	1.7	0.17	1
3D80A	186	XRAY	1.4	0.22	0.24
5IL6A	316	XRAY	1.9	0.2	0.23
4MY0A	392	XRAY	2.1	0.17	0.2
2OCFD	121	XRAY	2.95	0.19	0.25
2B81A	323	XRAY	2.5	0.19	0.22
3PP5A	73	XRAY	1.5	0.16	0.18
5XHHA	161	XRAY	2.1	0.2	0.24
5WWQA	477	XRAY	2.81	0.23	0.27
2FBJH	220	XRAY	1.95	0.19	1
3MNDA	152	XRAY	2.2	0.2	0.25
2EX3B	230	XRAY	3	0.2	0.23
3D8UA	275	XRAY	2.88	0.22	0.28
1JUHA	350	XRAY	1.6	0.16	0.19
1T7SA	137	XRAY	2.8	0.22	0.3
1PDUA	244	XRAY	2.3	0.21	0.27
6F0PA	433	XRAY	1.34	0.14	0.16
4DBFA	288	XRAY	1.9	0.2	0.24
4X3ZA	366	XRAY	1.62	0.15	0.18
1R03A	182	XRAY	1.7	0.18	0.2
4XOXA	404	XRAY	2.01	0.15	0.18
2FIUA	99	XRAY	2	0.2	0.26
5HPLA	380	XRAY	2.31	0.19	0.25
3II2A	157	XRAY	2	0.17	0.24
3OECA	317	XRAY	1.95	0.18	0.23
5VM8A	249	XRAY	2.4	0.2	0.25
4EXLA	265	XRAY	1.7	0.17	0.21
3NETA	465	XRAY	2.7	0.22	0.27
6G4QB	415	XRAY	2.59	0.21	0.25
5VKYA	135	XRAY	2.3	0.21	0.27
5LXFA	182	XRAY	2	0.19	0.25
3KT7A	633	XRAY	1.77	0.18	0.2
3E6CC	250	XRAY	1.8	0.22	0.25
3NWZA	176	XRAY	2.57	0.23	0.26
5T88A	616	XRAY	1.9	0.19	0.25
4OELA	370	XRAY	1.4	0.18	0.2
1X6ZA	123	XRAY	0.78	0.14	0.15
5TU0A	390	XRAY	1.9	0.18	0.21
6EHYA	253	XRAY	2.25	0.23	0.28
4GC5A	345	XRAY	1.8	0.19	0.22
2Z5IA	52	XRAY	2.1	0.22	0.25
4YLAA	382	XRAY	1.4	0.18	0.2
4EEKA	259	XRAY	1.6	0.19	0.23
1NFDA	203	XRAY	2.8	0.24	0.31
3CEWA	125	XRAY	2.31	0.22	0.25
4FZVA	359	XRAY	2	0.17	0.19
4ANNA	215	XRAY	1.05	0.14	0.18
4BM1A	338	XRAY	1.1	0.13	0.15
5NX8A	487	XRAY	1.7	0.17	0.21
6A0JA	471	XRAY	1.6	0.16	0.19
1S7ZA	117	XRAY	1.83	0.17	0.24
1T6AA	126	XRAY	2.05	0.2	0.23
2FC3A	124	XRAY	1.56	0.18	0.23
5JVOA	97	XRAY	1.9	0.18	0.23
1Q20A	299	XRAY	2.3	0.21	0.23
5K23A	189	XRAY	2.96	0.21	0.26
1QU7A	227	XRAY	2.6	0.24	0.28
1E6CA	173	XRAY	1.8	0.19	0.23
3EZQA	115	XRAY	2.73	0.24	0.28
4YUUS1	46	XRAY	2.77	0.25	0.28
1MX3A	347	XRAY	1.95	0.21	0.25
2RHKA	140	XRAY	1.95	0.21	0.23
4RZLA	232	XRAY	2.1	0.17	0.2
4YHYC	215	XRAY	1.9	0.21	0.24
3UQIA	108	XRAY	1.3	0.16	0.19
3LNLA	370	XRAY	2	0.15	0.19
2PJSA	119	XRAY	1.85	0.2	0.24
4DN7A	429	XRAY	1.6	0.17	0.23
5JJPA	543	XRAY	2.3	0.21	0.24
3MI9A	351	XRAY	2.1	0.22	0.26
5NTDA	521	XRAY	2.3	0.19	0.21
1R6JA	82	XRAY	0.73	0.07	0.09
3LIZL	211	XRAY	1.8	0.18	0.2
5FA8A	161	XRAY	1.3	0.18	0.21
3VUSA	268	XRAY	1.65	0.21	0.26
4NQIA	264	XRAY	2.21	0.2	0.23
4E8OA	167	XRAY	2.14	0.19	0.23
4JXEA	197	XRAY	1.45	0.16	0.19
1AB8A	220	XRAY	2.2	0.22	0.28
1CP2A	269	XRAY	1.93	0.21	0.3
4XWXA	167	XRAY	1.87	0.17	0.19
1QWYA	291	XRAY	1.3	0.16	0.18
6FT2A	246	XRAY	1.25	0.18	0.2
4BOLA	259	XRAY	1.7	0.15	0.18
4GGCA	318	XRAY	1.35	0.13	0.15
1SBZA	197	XRAY	2	0.18	0.22
3AJZA	135	XRAY	1.5	0.2	0.22
5VBDA	109	XRAY	1.5	0.23	0.24
4C2EA	446	XRAY	1.8	0.18	0.19
2XQXA	151	XRAY	2.01	0.22	0.26
3GZ7A	115	XRAY	2.15	0.18	0.24
1QLEC	273	XRAY	3	0.23	0.31
1CE7B	255	XRAY	2.7	0.25	0.32
2WV3A	190	XRAY	1.95	0.21	0.25
5NCRA	181	XRAY	1.89	0.19	0.22
5T6UA	215	XRAY	2.9	0.21	0.22
1PSRA	100	XRAY	1.05	0.11	0.14
3OYYA	191	XRAY	1.75	0.21	0.26
5XEGA	231	XRAY	1.8	0.16	0.21
4XPZA	372	XRAY	1.45	0.15	0.18
2DDFA	257	XRAY	1.7	0.2	0.23
4IYQA	127	XRAY	2.55	0.17	0.22
3SJAC	65	XRAY	3	0.18	0.23
5UXMA	453	XRAY	1.54	0.19	0.21
3HJ9A	223	XRAY	2	0.18	0.21
5BPBA	149	XRAY	2.2	0.18	0.22
4WK7A	235	XRAY	1.24	0.2	0.21
4QUKA	319	XRAY	1.9	0.18	0.23
3CTRA	101	XRAY	2.1	0.21	0.24
3JSJA	190	XRAY	2.1	0.19	0.23
5LC9A	287	XRAY	1.9	0.17	0.19
1Y82A	157	XRAY	2.3	0.22	0.28
1XIWA	105	XRAY	1.9	0.21	0.24
3AZOA	662	XRAY	2	0.18	0.2
4OWTC	104	XRAY	2	0.17	0.2
5I9FA	460	XRAY	2.19	0.25	0.3
5JM6A	519	XRAY	2.76	0.21	0.24
3LNOA	108	XRAY	2.1	0.17	0.22
3DSOA	74	XRAY	1.55	0.2	0.21
3VYXA	114	XRAY	2.29	0.2	0.26
2CO5A	99	XRAY	2.2	0.19	0.23
2ASKA	113	XRAY	1.55	0.23	0.26
3K8DA	264	XRAY	1.9	0.15	0.18
1WUFA	393	XRAY	2.9	0.24	0.27
3V6IB	105	XRAY	2.25	0.23	0.26
5FVJA	166	XRAY	1.7	0.17	0.23
5L0MA	112	XRAY	2.2	0.16	0.2
3ASAA	400	XRAY	2.05	0.23	0.28
4MUQA	255	XRAY	1.36	0.16	0.18
3G7KA	391	XRAY	2.7	0.2	0.26
4GZRA	101	XRAY	2.55	0.2	0.23
1WCWA	261	XRAY	1.3	0.19	0.22
2JDII	50	XRAY	1.9	0.18	0.22
5U0VA	284	XRAY	1.7	0.18	0.21
1RI6A	343	XRAY	2	0.17	0.2
5JS4A	719	XRAY	1.48	0.14	0.16
1ZODA	433	XRAY	1.8	0.2	0.23
1EZWA	349	XRAY	1.65	0.2	0.21
3OA6A	110	XRAY	2.35	0.23	0.28
4IDCA	332	XRAY	1.4	0.14	0.16
3DXLA	303	XRAY	1.3	0.19	0.21
5TODA	189	XRAY	2.96	0.24	0.26
4NNBA	542	XRAY	2	0.21	0.25
2B9VA	652	XRAY	2	0.2	0.23
4AQOA	92	XRAY	0.99	0.12	0.15
1K20A	310	XRAY	1.5	0.17	0.19
4UF1A	168	XRAY	2.3	0.18	0.21
2VW8A	303	XRAY	1.45	0.17	0.19
2BKLA	695	XRAY	1.5	0.16	0.18
5DXEA	261	XRAY	1.5	0.18	0.2
4GMNB	49	XRAY	2.95	0.21	0.26
4HGVA	495	XRAY	2.09	0.2	0.23
5NB1A	230	XRAY	2.82	0.23	0.28
4A94C	53	XRAY	1.7	0.21	0.23
1WDIA	345	XRAY	2.1	0.24	0.27
1TZJA	338	XRAY	1.99	0.23	0.25
4DQ9A	170	XRAY	1.59	0.2	0.25
3FO5A	258	XRAY	2	0.2	0.25
1YU5X	67	XRAY	1.4	0.19	0.22
3NMRA	175	XRAY	1.85	0.21	0.24
4O1JA	255	XRAY	2.69	0.21	0.25
4K2JA	140	XRAY	2.05	0.18	0.23
4PYTA	309	XRAY	1.85	0.2	0.23
3CYJA	372	XRAY	2.3	0.24	0.29
5YOWA	434	XRAY	2.1	0.18	0.23
1APYB	141	XRAY	2	0.17	0.22
4QNSA	106	XRAY	1.5	0.16	0.19
5VKOA	211	XRAY	1.8	0.17	0.2
1MY7A	114	XRAY	1.49	0.25	0.25
4X7CC	126	XRAY	2	0.17	0.22
5CVCA	346	XRAY	2.09	0.2	0.23
1A0IA	348	XRAY	2.6	0.22	0.34
3AXJA	249	XRAY	2.1	0.21	0.24
4RYAA	424	XRAY	1.5	0.13	0.17
2Q03A	138	XRAY	1.8	0.17	0.18
4MBOA	340	XRAY	1.65	0.15	0.19
4QYNA	133	XRAY	1.19	0.19	0.22
4ARXA	579	XRAY	2.35	0.19	0.22
4F40A	288	XRAY	1.6	0.15	0.18
5BQ2A	429	XRAY	1.7	0.15	0.18
4I3YA	271	XRAY	2.04	0.19	0.25
3LWAA	183	XRAY	1.75	0.2	0.23
3TO3A	619	XRAY	2.38	0.17	0.23
1M9ZA	111	XRAY	1.05	0.16	0.17
3PM0A	507	XRAY	2.7	0.24	0.28
5OYLD	46	XRAY	2.25	0.19	0.22
4V7OA6	997	XRAY	3	0.2	0.25
5JBNA	170	XRAY	1.45	0.15	0.18
2PT5A	168	XRAY	2.1	0.21	0.27
2FELA	359	XRAY	2.2	0.19	0.24
3GMXA	154	XRAY	1.05	0.13	0.15
2OG5A	357	XRAY	1.45	0.17	0.19
4FMHA	289	XRAY	1.85	0.17	0.2
4TZIA	115	XRAY	2.1	0.2	0.25
4U4RD1	87	XRAY	2.8	0.21	0.25
2PD0A	223	XRAY	2.3	0.22	0.28
5C5GA	254	XRAY	1.25	0.15	0.17
5INBB	46	XRAY	1.3	0.13	0.15
5EVFA	105	XRAY	1.76	0.17	0.2
1CC5A	83	XRAY	2.5	0.29	1
2O2GA	223	XRAY	1.92	0.19	0.24
3A8RA	179	XRAY	2.4	0.23	0.27
4WAIA	121	XRAY	2.43	0.21	0.25
5HNOA	190	XRAY	1.7	0.18	0.21
1QSMA	152	XRAY	2.4	0.17	0.24
5B1AB	227	XRAY	1.5	0.15	0.17
1VH7A	265	XRAY	1.9	0.2	0.22
1SEQH	225	XRAY	1.78	0.19	0.23
1YF8A	240	XRAY	2.8	0.24	0.29
5C2VC	314	XRAY	2.7	0.24	0.27
2OA5A	110	XRAY	2.1	0.21	0.24
4NKHA	239	XRAY	2.75	0.24	0.28
4FSDA	383	XRAY	1.75	0.2	0.24
5CAYG	345	XRAY	3	0.23	0.29
3EQXA	373	XRAY	1.6	0.17	0.2
3O0HA	484	XRAY	1.9	0.17	0.21
6B6UA	525	XRAY	1.35	0.13	0.15
3JS6A	355	XRAY	1.95	0.19	0.24
1ZA7A	165	XRAY	2.7	0.24	1
1QD6C	240	XRAY	2.1	0.23	0.28
3OBWA	364	XRAY	2.6	0.23	0.27
2NUWA	288	XRAY	1.8	0.16	0.18
4B6HA	134	XRAY	2.6	0.24	0.28
2QY1A	330	XRAY	1.9	0.16	0.19
5BRAA	350	XRAY	2.97	0.18	0.29
3NQNA	158	XRAY	1.88	0.2	0.24
6CBNA	438	XRAY	1.35	0.17	0.2
5YGRB	412	XRAY	2.5	0.24	0.3
3A68A	212	XRAY	1.8	0.14	0.17
1U7NA	336	XRAY	2.26	0.21	0.26
4Y04A	720	XRAY	1.66	0.19	0.23
2Y7SA	256	XRAY	1.9	0.19	0.23
4NHEA	328	XRAY	1.95	0.18	0.21
1I0VA	104	XRAY	1.23	0.18	0.19
5G0FA	110	XRAY	1.9	0.18	0.21
1CZAN	917	XRAY	1.9	0.21	0.26
5ZBRA	375	XRAY	2	0.19	0.24
5TW1A	350	XRAY	2.76	0.24	0.28
5MH6A	308	XRAY	1.35	0.13	0.16
1J5SA	463	XRAY	2.85	0.23	0.27
2XVEA	464	XRAY	1.99	0.17	0.2
5B18A	99	XRAY	1.8	0.2	0.24
2CWSA	237	XRAY	1	0.1	0.13
2GMLA	237	XRAY	2.6	0.23	0.29
1NU7D	282	XRAY	2.2	0.21	0.25
4ZA2A	253	XRAY	1.55	0.2	0.23
3OEIC	96	XRAY	2.15	0.21	0.26
5I2CA	329	XRAY	1.8	0.17	0.2
2H6EA	344	XRAY	1.8	0.2	0.23
4B97A	151	XRAY	1.28	0.14	0.16
1N5UA	585	XRAY	1.9	0.23	0.28
2OWLA	303	XRAY	2.4	0.24	0.33
1EWFA	456	XRAY	1.7	0.2	0.25
5X4GB	234	XRAY	1.45	0.21	0.23
4ETVA	209	XRAY	1.65	0.23	0.25
3FOTA	519	XRAY	1.75	0.18	0.22
4LFHD	236	XRAY	2.3	0.19	0.24
2EHWA	120	XRAY	2.22	0.22	0.28
4BLUA	289	XRAY	1.85	0.17	0.21
5BO7A	323	XRAY	1.85	0.17	0.2
2A8EA	220	XRAY	2.5	0.2	0.24
3JUIA	182	XRAY	2	0.21	0.28
5BZ1A	400	XRAY	2.15	0.18	0.21
3M86A	111	XRAY	1.65	0.18	0.21
3K32A	203	XRAY	2.5	0.18	0.26
3QWNA	214	XRAY	2.42	0.18	0.21
2Z6RA	265	XRAY	1.5	0.2	0.21
2PCQA	283	XRAY	2.1	0.16	0.19
6M9MA	207	XRAY	1.4	0.14	0.17
2QL2A	60	XRAY	2.5	0.25	0.29
1Q72H	223	XRAY	1.7	0.22	0.25
3NTUA	319	XRAY	1.9	0.19	0.21
5MGYA	332	XRAY	2.6	0.23	0.27
6BMNA	295	XRAY	2.25	0.26	0.28
3SEEA	222	XRAY	1.25	0.13	0.15
3M5JA	317	XRAY	2.6	0.21	0.25
1M1QA	91	XRAY	0.97	0.14	0.15
3G2SA	149	XRAY	1.7	0.2	0.23
5NUVA	309	XRAY	1.55	0.17	0.2
1N9WA	422	XRAY	2.3	0.23	0.26
4KQ6A	179	XRAY	2.24	0.2	0.25
1HSSA	124	XRAY	2.06	0.19	0.22
4DQAA	355	XRAY	1.5	0.16	0.18
6ASKA	444	XRAY	1.69	0.17	0.19
3FKRA	309	XRAY	1.8	0.2	0.24
3SOJA	115	XRAY	1	0.16	0.18
5ZNPA	216	XRAY	2.8	0.25	0.29
5AA5A	351	XRAY	2.5	0.19	0.24
1QJPA	171	XRAY	1.65	0.15	0.2
3MJ0A	124	XRAY	2.31	0.22	0.27
3VXCA	436	XRAY	1.85	0.17	0.21
1MJNA	179	XRAY	1.3	0.16	0.2
5H71A	492	XRAY	1.55	0.17	0.2
3RE9A	187	XRAY	2.4	0.21	0.26
2AE0X	345	XRAY	2	0.2	0.24
4TW5A	272	XRAY	2.37	0.21	0.27
4LRLA	480	XRAY	2.35	0.19	0.23
4ZXAW	339	XRAY	2.49	0.19	0.24
3NASA	233	XRAY	3	0.23	0.29
5YQRA	276	XRAY	2.4	0.22	0.27
3PRVA	157	XRAY	2.69	0.23	0.32
4Z86A	199	XRAY	1.63	0.17	0.21
2H62C	129	XRAY	1.85	0.22	0.23
2I74A	189	XRAY	1.75	0.17	0.21
1I8AA	189	XRAY	1.9	0.2	0.22
1QJ8A	148	XRAY	1.9	0.2	0.25
5FAAA	283	XRAY	1.6	0.13	0.16
1E1HB	174	XRAY	1.8	0.2	0.24
3LO0A	193	XRAY	1.95	0.21	0.26
3FBGA	346	XRAY	1.6	0.24	0.28
4LR4A	370	XRAY	2.43	0.19	0.22
4B2GA	609	XRAY	2.4	0.23	0.26
3IU6A	147	XRAY	1.79	0.17	0.2
3GRDA	134	XRAY	1.25	0.14	0.17
3H95A	199	XRAY	1.7	0.2	0.22
1CE7A	241	XRAY	2.7	0.25	0.32
4OC9A	424	XRAY	2.35	0.2	0.25
6G42A	307	XRAY	2.7	0.22	0.27
1CZJA	111	XRAY	2.16	0.2	0.26
4BPZA	256	XRAY	1.13	0.14	0.17
